"SNF VBP Program Ranking","Footnote -- SNF VBP Program Ranking","CMS Certification Number (CCN)","Provider Name","Provider Address","City/Town","State","ZIP Code","Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Footnote -- Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Performance Period: FY 2022 Risk-Standardized Readmission Rate","Footnote -- Performance Period: FY 2022 Risk-Standardized Readmission Rate","Achievement Score","Footnote -- Achievement Score","Improvement Score","Footnote -- Improvement Score","Performance Score","Footnote -- Performance Score","Incentive Payment Multiplier","Footnote -- Incentive Payment Multiplier"
7275,,010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,0.20018,,0.23768,,0.00000,,0.00000,,0.00000,,0.9802538758,
602,,010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,0.17051,,0.17070,,92.53589,,0.00000,,92.53589,,1.0174008085,
712,,010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,0.18901,,0.17240,,88.46890,,80.88418,,88.46890,,1.0171396083,
2966,,010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,0.18295,,0.18755,,52.22488,,0.00000,,52.22488,,1.0010674105,
791,,010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,0.19672,,0.17320,,86.55502,,81.95009,,86.55502,,1.0169766008,
653,,010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,0.18700,,0.17149,,90.64593,,84.49798,,90.64593,,1.0172920869,
7200,,010158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,0.22835,,0.22300,,0.00000,,4.11725,,4.11725,,0.9803819030,
2104,,015009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,0.17921,,0.18308,,62.91866,,0.00000,,62.91866,,1.0097565521,
7275,,015010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,0.20903,,0.23358,,0.00000,,0.00000,,0.00000,,0.9802538758,
4644,,015012,HIGHLANDS HEALTH AND REHAB,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,0.22385,,0.20281,,15.71770,,33.83352,,33.83352,,0.9862841709,
1411,,015016,ATHENS HEALTH AND REHABILITATION LLC,611 WEST MARKET STREET,ATHENS,AL,35611,0.20860,,0.17865,,73.51675,,71.93296,,73.51675,,1.0146348250,
1357,,015019,MERRY WOOD LODGE,280 MT HEBRON ROAD,ELMORE,AL,36025,0.17671,,0.17825,,74.47368,,0.00000,,74.47368,,1.0149117880,
7275,,015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",1600 WEST HOBBS STREET,ATHENS,AL,35611,0.21210,,0.22338,,0.00000,,0.00000,,0.00000,,0.9802538758,
7147,,015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",1825 HOLTVILLE ROAD,WETUMPKA,AL,36092,0.21242,,0.20801,,0.00000,,5.31579,,5.31579,,0.9804299803,
7275,,015028,KELLER LANDING,813 KELLER LANE,TUSCUMBIA,AL,35674,0.21721,,0.21704,,0.00000,,0.00000,,0.00000,,0.9802538758,
3792,,015031,MITCHELL - HOLLINGSWORTH NURSING & REHABILITATION,805 FLAGG CIRCLE,FLORENCE,AL,35631,0.17182,,0.19134,,43.15789,,0.00000,,43.15789,,0.9927195691,
2239,,015032,DIVERSICARE OF FOLEY,1701 NORTH ALSTON STREET,FOLEY,AL,36535,0.23601,,0.19194,,41.72249,,61.43051,,61.43051,,1.0087618322,
3887,,015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",600 34TH ST,NORTHPORT,AL,35473,0.22040,,0.19654,,30.71770,,42.03331,,42.03331,,0.9917870544,
3560,,015035,WEST GATE VILLAGE,100 PINEVIEW AND THIRD,BREWTON,AL,36427,0.19508,,0.19015,,46.00478,,14.40181,,46.00478,,0.9952270932,
3285,,015042,"SUMTER HEALTH AND REHABILITATION, L L C",1505 EAST 4TH AVENUE,YORK,AL,36925,0.20901,,0.18897,,48.82775,,45.94052,,48.82775,,0.9978558107,
7275,,015049,EASTERN SHORE REHABILITATION AND HEALTH CENTER,101 VILLA DRIVE,DAPHNE,AL,36526,0.22653,,0.26821,,0.00000,,0.00000,,0.00000,,0.9802538758,
5136,,015053,CLEBURNE COUNTY NURSING HOME,122 BROCKFORD ROAD,HEFLIN,AL,36264,0.18493,,0.19744,,28.56459,,0.00000,,28.56459,,0.9839804862,
3404,,015063,DIVERSICARE OF BOAZ,600 CORLEY AVENUE,BOAZ,AL,35957,0.19076,,0.18950,,47.55981,,0.97440,,47.55981,,0.9966635542,
7275,,015065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",601 JASMINE TRAIL,PRATTVILLE,AL,36066,0.21258,,0.24187,,0.00000,,0.00000,,0.00000,,0.9802538758,
4246,,015066,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",390 UNDERWOOD ROAD,RUSSELLVILLE,AL,35653,0.21622,,0.19612,,31.72249,,38.17938,,38.17938,,0.9889020360,
7275,,015067,COTTAGE OF THE SHOALS,500 JOHN ALDRIDGE DRIVE,TUSCUMBIA,AL,35674,0.18986,,0.21861,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015073,"HANCEVILLE NURSING & REHAB CENTER, INC",420 MAIN STREET NE,HANCEVILLE,AL,35077,0.21853,,0.21699,,0.00000,,0.00000,,0.00000,,0.9802538758,
5463,,015075,"SUMMERFORD HEALTH AND REHAB, LLC",4087 HIGHWAY 31 SOUTHWEST,FALKVILLE,AL,35622,0.18571,,0.19889,,25.09569,,0.00000,,25.09569,,0.9829030316,
7275,,015076,FAIR HAVEN,1424 MONTCLAIR ROAD,BIRMINGHAM,AL,35210,0.17275,,0.21481,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015083,"ELBA NURSING AND REHABILITATION CENTER, LLC",987 DRAYTON STREET,ELBA,AL,36323,0.21696,,0.21878,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015084,PARK PLACE,100 PARK PLACE,SELMA,AL,36701,0.20683,,0.22314,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015089,EVERGREEN NURSING HOME,100 SANDERS DRIVE,EVERGREEN,AL,36401,0.18276,,0.22368,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015091,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",200 NORTH PINE HILL ROAD,BIRMINGHAM,AL,35217,0.19454,,0.21764,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",148 TUSCALOOSA ST,MOBILE,AL,36607,0.19684,,0.23036,,0.00000,,0.00000,,0.00000,,0.9802538758,
7169,,015111,DIVERSICARE OF BIG SPRINGS,500 ST. CLAIR AVENUE SOUTHWEST,HUNTSVILLE,AL,35801,0.19857,,0.20726,,5.07177,,0.00000,,5.07177,,0.9804197296,
4258,,015113,RIVER CITY CENTER,1350 FOURTEENTH AVENUE SOUTHEAST,DECATUR,AL,35601,0.20699,,0.19345,,38.11005,,31.28081,,38.11005,,0.9888548891,
1165,,015114,SHADESCREST HEALTH CARE CENTER,331 WEST 25TH STREET,JASPER,AL,35502,0.19652,,0.17665,,78.30144,,69.00372,,78.30144,,1.0158189189,
3288,,015115,"CORDOVA HEALTH AND REHABILITATION, LLC",70 HIGHLAND STREET WEST,CORDOVA,AL,35550,0.19794,,0.18898,,48.80383,,26.69438,,48.80383,,0.9978332065,
1465,,015116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,105 TEAKWOOD DRIVE SW,HUNTSVILLE,AL,35801,0.18539,,0.17896,,72.77512,,35.90331,,72.77512,,1.0144045797,
5156,,015119,"SELMA HEALTH AND REHAB, LLC",11 BELL ROAD,SELMA,AL,36701,0.17889,,0.19752,,28.37321,,0.00000,,28.37321,,0.9839128152,
7275,,015120,"NHC HEALTHCARE, ANNISTON",2300 COLEMAN RD,ANNISTON,AL,36207,0.21249,,0.21109,,0.00000,,0.00000,,0.00000,,0.9802538758,
2355,,015126,TRAYLOR RETIREMENT COMMUNITY,1235 YANCEY STREET,ROANOKE,AL,36274,0.16426,,0.18440,,59.76077,,0.00000,,59.76077,,1.0075514001,
7275,,015127,BROOKSHIRE HEALTHCARE CENTER,4320 JUDITH LANE,HUNTSVILLE,AL,35805,0.20420,,0.21805,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015128,"NHC HEALTHCARE, MOULTON",300 HOSPITAL STREET,MOULTON,AL,35650,0.23308,,0.25307,,0.00000,,0.00000,,0.00000,,0.9802538758,
590,,015129,ATMORE NURSING CENTER,715 EAST LAUREL STREET,ATMORE,AL,36502,0.21389,,0.17053,,92.94258,,90.00000,,92.94258,,1.0174217085,
7275,,015132,DIVERSICARE OF OXFORD,1130 SOUTH HALE STREET,OXFORD,AL,36203,0.17612,,0.24490,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015133,MAGNOLIA RIDGE,420 DEAN DRIVE,GARDENDALE,AL,35071,0.22580,,0.22881,,0.00000,,0.00000,,0.00000,,0.9802538758,
2724,,015134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,733 MARY VANN LANE,BIRMINGHAM,AL,35215,0.21175,,0.18649,,54.76077,,55.02852,,55.02852,,1.0036367854,
5111,,015136,FALKVILLE HEALTH CARE CENTER,10 WEST 3RD STREET,FALKVILLE,AL,35622,0.18391,,0.19734,,28.80383,,0.00000,,28.80383,,0.9840665315,
4902,,015137,ALICEVILLE MANOR NURSING HOME,703 17TH STREET NORTHWEST,ALICEVILLE,AL,35442,0.20213,,0.19648,,30.86124,,12.40604,,30.86124,,0.9848760583,
