"CMS Certification Number (CCN)","State","Percent of residents who are up-to-date on their vaccines","Percent of staff who are up-to-date on their vaccines","Date vaccination data last updated"
"015009","AL","3.8","12.3","10/27/2024"
"015010","AL","0.0","0.0","10/27/2024"
"015012","AL","37.0","0.0","10/27/2024"
"015014","AL","Not Available","Not Available","10/27/2024"
"015015","AL","65.6","0.0","10/27/2024"
"015016","AL","Not Available","Not Available","10/27/2024"
"015019","AL","1.0","11.1","10/27/2024"
"015023","AL","32.2","0.0","10/27/2024"
"015024","AL","13.6","0.0","10/27/2024"
"015027","AL","Not Available","Not Available","10/27/2024"
"015028","AL","15.4","0.0","10/27/2024"
"015031","AL","16.4","0.0","10/27/2024"
"015032","AL","13.8","0.7","10/27/2024"
"015034","AL","Not Available","Not Available","10/27/2024"
"015035","AL","46.6","0.0","10/27/2024"
"015040","AL","30.8","0.0","10/27/2024"
"015042","AL","Not Available","Not Available","10/27/2024"
"015044","AL","61.2","14.8","10/27/2024"
"015045","AL","0.0","0.0","10/27/2024"
"015047","AL","Not Available","Not Available","10/27/2024"
"015048","AL","0.0","Not Available","10/27/2024"
"015049","AL","0.0","0.0","10/27/2024"
"015050","AL","0.0","0.0","10/27/2024"
"015053","AL","0.0","0.0","10/27/2024"
"015060","AL","0.0","0.0","10/27/2024"
"015063","AL","0.0","0.0","10/27/2024"
"015065","AL","Not Available","Not Available","10/27/2024"
"015066","AL","1.9","0.0","10/27/2024"
"015067","AL","0.0","1.0","10/27/2024"
"015071","AL","0.0","1.2","10/27/2024"
"015073","AL","54.4","6.1","10/27/2024"
"015075","AL","6.1","0.0","10/27/2024"
"015076","AL","22.5","Not Available","10/27/2024"
"015083","AL","18.1","0.0","10/27/2024"
"015084","AL","1.0","0.0","10/27/2024"
"015089","AL","8.1","7.5","10/27/2024"
"015091","AL","0.0","0.0","10/27/2024"
"015097","AL","Not Available","Not Available","10/27/2024"
"015098","AL","65.0","0.0","10/27/2024"
"015100","AL","5.1","0.0","10/27/2024"
"015101","AL","43.8","2.5","10/27/2024"
"015103","AL","Not Available","Not Available","10/27/2024"
"015104","AL","47.5","1.1","10/27/2024"
"015109","AL","Not Available","Not Available","10/27/2024"
"015111","AL","0.0","1.7","10/27/2024"
"015112","AL","0.0","2.2","10/27/2024"
"015113","AL","21.8","0.5","10/27/2024"
"015114","AL","66.7","5.6","10/27/2024"
"015115","AL","Not Available","Not Available","10/27/2024"
"015116","AL","1.6","0.0","10/27/2024"
"015117","AL","Not Available","Not Available","10/27/2024"
"015119","AL","43.8","0.0","10/27/2024"
"015120","AL","25.7","3.8","10/27/2024"
"015121","AL","56.2","6.3","10/27/2024"
"015123","AL","0.0","0.0","10/27/2024"
"015124","AL","42.9","0.0","10/27/2024"
"015126","AL","0.0","0.7","10/27/2024"
"015127","AL","9.6","1.2","10/27/2024"
"015128","AL","38.4","1.3","10/27/2024"
"015129","AL","0.0","0.0","10/27/2024"
"015132","AL","0.0","0.0","10/27/2024"
"015133","AL","0.0","7.0","10/27/2024"
"015134","AL","0.0","0.0","10/27/2024"
"015135","AL","0.0","Not Available","10/27/2024"
"015136","AL","0.0","0.0","10/27/2024"
"015137","AL","0.0","0.0","10/27/2024"
"015138","AL","Not Available","Not Available","10/27/2024"
"015139","AL","Not Available","Not Available","10/27/2024"
"015141","AL","1.9","1.0","10/27/2024"
"015142","AL","Not Available","Not Available","10/27/2024"
"015143","AL","32.5","4.0","10/27/2024"
"015144","AL","22.3","0.0","10/27/2024"
"015145","AL","27.5","18.7","10/27/2024"
"015147","AL","0.0","2.1","10/27/2024"
"015148","AL","0.0","0.0","10/27/2024"
"015149","AL","56.1","0.0","10/27/2024"
"015150","AL","53.8","0.0","10/27/2024"
"015151","AL","0.0","2.5","10/27/2024"
"015152","AL","72.1","0.8","10/27/2024"
"015153","AL","0.0","0.0","10/27/2024"
"015154","AL","10.9","1.1","10/27/2024"
"015155","AL","34.7","0.0","10/27/2024"
"015156","AL","28.3","6.5","10/27/2024"
"015157","AL","2.9","0.0","10/27/2024"
"015158","AL","0.0","0.0","10/27/2024"
"015159","AL","5.6","0.0","10/27/2024"
"015160","AL","32.8","0.5","10/27/2024"
"015162","AL","23.9","0.9","10/27/2024"
"015163","AL","0.0","0.0","10/27/2024"
"015164","AL","32.9","2.7","10/27/2024"
"015166","AL","55.2","6.6","10/27/2024"
"015167","AL","0.0","6.9","10/27/2024"
"015168","AL","70.0","1.1","10/27/2024"
"015169","AL","0.7","0.4","10/27/2024"
"015171","AL","0.0","1.4","10/27/2024"
"015174","AL","0.0","11.8","10/27/2024"
"015175","AL","28.0","0.0","10/27/2024"
"015176","AL","Not Available","Not Available","10/27/2024"
"015177","AL","40.0","0.0","10/27/2024"
"015178","AL","0.0","0.7","10/27/2024"
"015179","AL","50.0","3.3","10/27/2024"
"015180","AL","26.4","1.2","10/27/2024"
"015182","AL","Not Available","Not Available","10/27/2024"
"015183","AL","0.0","0.0","10/27/2024"
"015184","AL","0.0","0.0","10/27/2024"
"015186","AL","Not Available","Not Available","10/27/2024"
"015187","AL","Not Available","Not Available","10/27/2024"
"015188","AL","59.6","0.0","10/27/2024"
"015189","AL","0.0","0.0","10/27/2024"
"015191","AL","57.4","7.3","10/27/2024"
"015192","AL","31.4","14.4","10/27/2024"
"015193","AL","66.3","0.8","10/27/2024"
"015194","AL","0.0","0.0","10/27/2024"
"015195","AL","0.0","0.4","10/27/2024"
"015196","AL","0.0","0.0","10/27/2024"
"015197","AL","0.0","0.0","10/27/2024"
"015199","AL","39.9","0.0","10/27/2024"
"015200","AL","0.5","0.0","10/27/2024"
"015201","AL","0.0","0.9","10/27/2024"
"015202","AL","59.0","8.2","10/27/2024"
"015203","AL","8.5","4.3","10/27/2024"
"015204","AL","71.4","0.0","10/27/2024"
"015206","AL","Not Available","Not Available","10/27/2024"
"015207","AL","38.3","2.5","10/27/2024"
"015208","AL","Not Available","Not Available","10/27/2024"
"015209","AL","24.4","0.0","10/27/2024"
"015210","AL","0.0","0.0","10/27/2024"
"015211","AL","24.6","5.4","10/27/2024"
"015212","AL","55.7","0.7","10/27/2024"
"015213","AL","0.0","Not Available","10/27/2024"
"015214","AL","33.8","0.0","10/27/2024"
"015215","AL","59.7","2.0","10/27/2024"
"015216","AL","0.0","0.0","10/27/2024"
"015217","AL","0.0","1.0","10/27/2024"
"015220","AL","40.2","10.2","10/27/2024"
"015221","AL","59.0","0.9","10/27/2024"
"015222","AL","47.3","0.0","10/27/2024"
"015223","AL","0.0","0.0","10/27/2024"
"015225","AL","56.1","0.0","10/27/2024"
"015227","AL","48.2","2.1","10/27/2024"
"015228","AL","0.0","5.0","10/27/2024"
"015303","AL","0.0","0.0","10/27/2024"
"015315","AL","0.0","0.0","10/27/2024"
"015320","AL","41.9","0.7","10/27/2024"
"015321","AL","Not Available","Not Available","10/27/2024"
"015322","AL","0.0","0.0","10/27/2024"
"015326","AL","Not Available","Not Available","10/27/2024"
"015330","AL","42.6","9.5","10/27/2024"
"015331","AL","0.0","0.7","10/27/2024"
"015336","AL","Not Available","Not Available","10/27/2024"
"015361","AL","41.1","0.0","10/27/2024"
"015369","AL","0.0","0.0","10/27/2024"
"015371","AL","0.0","0.0","10/27/2024"
"015372","AL","21.9","0.0","10/27/2024"
"015373","AL","0.0","2.5","10/27/2024"
"015374","AL","24.1","0.0","10/27/2024"
"015375","AL","1.3","0.0","10/27/2024"
"015376","AL","0.0","0.0","10/27/2024"
"015378","AL","47.0","0.0","10/27/2024"
"015379","AL","3.0","0.4","10/27/2024"
"015381","AL","0.0","0.0","10/27/2024"
"015382","AL","41.8","15.9","10/27/2024"
"015383","AL","33.8","1.7","10/27/2024"
"015386","AL","56.9","6.9","10/27/2024"
"015388","AL","39.0","0.0","10/27/2024"
"015390","AL","0.9","0.0","10/27/2024"
"015391","AL","Not Available","Not Available","10/27/2024"
"015392","AL","94.8","100.0","10/27/2024"
"015393","AL","0.0","0.0","10/27/2024"
"015396","AL","0.0","0.0","10/27/2024"
"015397","AL","0.0","7.6","10/27/2024"
"015398","AL","0.0","0.0","10/27/2024"
"015400","AL","43.5","0.0","10/27/2024"
"015402","AL","47.5","1.0","10/27/2024"
"015403","AL","Not Available","Not Available","10/27/2024"
"015404","AL","38.2","0.0","10/27/2024"
"015406","AL","35.2","9.6","10/27/2024"
"015407","AL","0.0","0.0","10/27/2024"
"015408","AL","0.0","0.0","10/27/2024"
"015411","AL","32.8","1.0","10/27/2024"
"015413","AL","34.9","0.0","10/27/2024"
"015414","AL","0.0","0.0","10/27/2024"
"015416","AL","0.0","0.0","10/27/2024"
"015417","AL","33.3","3.4","10/27/2024"
"015419","AL","51.1","2.8","10/27/2024"
"015420","AL","41.2","0.0","10/27/2024"
"015422","AL","5.3","0.0","10/27/2024"
"015423","AL","11.9","0.0","10/27/2024"
"015424","AL","0.0","0.0","10/27/2024"
"015425","AL","0.0","0.0","10/27/2024"
"015426","AL","23.4","0.0","10/27/2024"
"015429","AL","0.0","0.0","10/27/2024"
"015431","AL","Not Available","Not Available","10/27/2024"
"015433","AL","1.1","0.0","10/27/2024"
"015434","AL","0.0","0.0","10/27/2024"
"015435","AL","2.5","0.6","10/27/2024"
"015436","AL","0.0","0.0","10/27/2024"
"015437","AL","5.1","0.0","10/27/2024"
